"ID"	"variable"	"value"
"314"	"ARS4"	"IncX1_1"	1
"315"	"ARS5"	"IncX1_1"	1
"316"	"ARS6"	"IncX1_1"	1
"317"	"ARS7"	"IncX1_1"	1
"318"	"ARS8"	"IncX1_1"	1
"319"	"ARS9"	"IncX1_1"	1
"320"	"NDSU10"	"IncX1_1"	0
"321"	"NDSU13"	"IncX1_1"	0
"322"	"NDSU15"	"IncX1_1"	1
"323"	"NDSU16"	"IncX1_1"	0
"324"	"NDSU17"	"IncX1_1"	1
"325"	"NDSU18"	"IncX1_1"	1
"326"	"NDSU19"	"IncX1_1"	1
"327"	"NDSU1"	"IncX1_1"	1
"328"	"NDSU20"	"IncX1_1"	1
"329"	"NDSU21"	"IncX1_1"	1
"330"	"NDSU22"	"IncX1_1"	1
"331"	"NDSU24"	"IncX1_1"	1
"332"	"NDSU25"	"IncX1_1"	1
"333"	"NDSU26"	"IncX1_1"	1
"334"	"NDSU28"	"IncX1_1"	1
"335"	"NDSU29"	"IncX1_1"	1
"336"	"NDSU2"	"IncX1_1"	1
"337"	"NDSU30"	"IncX1_1"	1
"338"	"NDSU3"	"IncX1_1"	1
"339"	"NDSU4"	"IncX1_1"	0
"340"	"NDSU5"	"IncX1_1"	1
"341"	"NDSU6"	"IncX1_1"	1
"342"	"NDSU7"	"IncX1_1"	1
"343"	"NDSU8"	"IncX1_1"	1
"344"	"NDSU9"	"IncX1_1"	1
